Brand Name,Product Name,Original Price,Discounted Price,Percentage Discount
Bell,Bell  BLBHS 185  Bluetooth Bluetooth Earphone In Ear Powerfull Bass Silver,3199.0,699.0,78.14942169427947
Bell,Bell - Wireless Bluetooth Headset,1599.0,499.0,68.79299562226392
Life,Life Like Transparent Type C True Wireless (TWS) In Ear 10 Hours Playback Powerfull bass IPX4(Splash & Sweat Proof) Purple,1999.0,519.0,74.03701850925462
boAt,boAt Airdopes 125 Bluetooth True Wireless (TWS) In Ear 50 Hours Playback Voice assistant IPX5(Splash & Sweat Proof) Black,4490.0,1399.0,68.84187082405346
boAt,boAt Airdopes 148  In Ear True Wireless (TWS) 42 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass -Bluetooth Cyan,4490.0,1499.0,66.61469933184854
hitage,hitage BTH386 Headphones In Ear Bluetooth Headphone 20 Hours Playback IPX5(Splash & Sweat Proof) Powerfull bass -Bluetooth V 5.0 Gray,1699.0,849.0,50.02942907592701
Bell,Bell - Wireless Bluetooth Headset,1599.0,499.0,68.79299562226392
AXL,AXL 02 Over Ear Wired Headphone 0 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass -Bluetooth Red,1299.0,399.0,69.28406466512702
boAt,boAt Airdopes 381 Green Chasing Star Neckband Wireless With Mic Headphones/Earphones Green,4990.0,2199.0,55.93186372745491
Boult,Boult Audio AirBass z40 In Ear True Wireless (TWS) 60 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass -Bluetooth Brown,4999.0,1499.0,70.01400280056012
Bell,Bell  BLBHS 153  Bluetooth Bluetooth Earphone In Ear Powerfull Bass Gray,1599.0,399.0,75.046904315197
boAt,boAt Airdopes 393ANC  In Ear True Wireless (TWS) 30 Hours Playback IPX5(Splash & Sweat Proof) Powerfull bass -Bluetooth Gray,4990.0,3299.0,33.88777555110221
Bell,Bell  BLBHS 175  Bluetooth Bluetooth Earphone In Ear Powerfull Bass Gray,1999.0,399.0,80.040020010005
Bell,Bell  BLBHS 125  Bluetooth Bluetooth Earphone In Ear Powerfull Bass Red,1599.0,399.0,75.046904315197
Neo,Neo F9S EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,1999.0,399.0,80.040020010005
boAt,"boAt Airdopes 131/138 Twin Wireless Earbuds with IWP Technology, Bluetooth V5.0, Immersive Audio, Up to 15H Total Playback, Instant Voice Assistant and Type-C Charging,Bluetooth Earphone (Cherry Blossom)",2990.0,1499.0,49.86622073578595
Life,Life Like Transparent With Led Type C True Wireless (TWS) In Ear 10 Hours Playback Powerfull bass IPX4(Splash & Sweat Proof) Pink,2499.0,699.0,72.02881152460985
boAt,boAt Airdopes 393ANC  In Ear True Wireless (TWS) 30 Hours Playback IPX5(Splash & Sweat Proof) Powerfull bass -Bluetooth Black,4990.0,3299.0,33.88777555110221
Bell,Bell - Wireless Bluetooth Headset,3999.0,1099.0,72.51812953238309
FINGERS,FINGERS Superstar H6  Over Ear Wired With Mic Headphones/Earphones Black,1099.0,599.0,45.49590536851683
Bell,Bell  BLBHS 180  Bluetooth Bluetooth Earphone In Ear Powerfull Bass Red,2999.0,699.0,76.69223074358119
hitage,hitage BTH386 Headphones In Ear Bluetooth Headphone 20 Hours Playback IPX5(Splash & Sweat Proof) Powerfull bass -Bluetooth V 5.0 Gray,1699.0,849.0,50.02942907592701
Bell,Bell BLHDP120A On Ear Headset with Mic Brown,1399.0,379.0,72.90922087205146
boAt,boAt Airdopes 148  In Ear True Wireless (TWS) 42 Hours Playback IPX4(Splash & Sweat Proof) Powerfull bass -Bluetooth Cyan,4490.0,1499.0,66.61469933184854
boAt,boAt Immortal 128 Bluetooth True Wireless (TWS) In Ear 40 Hours Playback Voice assistant IPX4(Splash & Sweat Proof) White,3499.0,1499.0,57.15918833952558
Bell,Bell - Wireless Bluetooth Headset,3699.0,999.0,72.99270072992701
